title,url,type
Commencal Meta TR 29 Origin Suspension Bike 2021,/commencal-meta-tr-29-origin-suspension-bike-2021/rp-prod199874,mountain
Cube Access WS EAZ 27.5 Hardtail Bike 2021,/cube-access-ws-eaz-27-5-hardtail-bike-2021/rp-prod200891,mountain
Cube Acid 29 Hardtail Bike 2021,/cube-acid-29-hardtail-bike-2021/rp-prod200670,mountain
Cube Aim Ex Hardtail Bike 2021,/cube-aim-ex-hardtail-bike-2021/rp-prod200791,mountain
Cube Aim Pro 27.5 Hardtail Bike 2021,/cube-aim-pro-27-5-hardtail-bike-2021/rp-prod200657,mountain
Cube Aim Pro 29 Hardtail Bike 2021,/cube-aim-pro-29-hardtail-bike-2021/rp-prod200664,mountain
Cube Aim Race 27.5 Hardtail Bike 2021,/cube-aim-race-27-5-hardtail-bike-2021/rp-prod200658,mountain
Cube Aim Race 29 Hardtail Bike 2021,/cube-aim-race-29-hardtail-bike-2021/rp-prod200659,mountain
Cube Aim SL 27.5 Allroad Hardtail Bike 2021,/cube-aim-sl-27-5-allroad-hardtail-bike-2021/rp-prod200885,mountain
Cube Aim SL 29 Allroad Hardtail Bike 2021,/cube-aim-sl-29-allroad-hardtail-bike-2021/rp-prod200790,mountain
Cube Aim SL 29 Hardtail Bike 2021,/cube-aim-sl-29-hardtail-bike-2021/rp-prod200788,mountain
Cube AMS 100 C:68 Race Suspension Bike 2021,/cube-ams-100-c-68-race-suspension-bike-2021/rp-prod200847,mountain
Cube AMS 100 C:68 TM 29 Suspension Bike 2021,/cube-ams-100-c-68-tm-29-suspension-bike-2021/rp-prod200864,mountain
Cube Analog 29 Hardtail Bike 2021,/cube-analog-29-hardtail-bike-2021/rp-prod200676,mountain
Cube Attention 29 Hardtail Bike 2021,/cube-attention-29-hardtail-bike-2021/rp-prod200684,mountain
Cube Attention Hardtail Bike 2021,/cube-attention-hardtail-bike-2021/rp-prod200894,mountain
Cube Attention SL 29 Hardtail Bike 2021,/cube-attention-sl-29-hardtail-bike-2021/rp-prod200671,mountain
Cube Reaction C:62 Pro Hardtail Bike 2021,/cube-reaction-c-62-pro-hardtail-bike-2021/rp-prod200871,mountain
Cube Reaction Pro Hardtail Bike 2021,/cube-reaction-pro-hardtail-bike-2021/rp-prod200889,mountain
Cube Stereo 120 HPC SLT 29 Suspension Bike 2021,/cube-stereo-120-hpc-slt-29-suspension-bike-2021/rp-prod200895,mountain
Cube Stereo 120 Race 29 Suspension Bike 2021,/cube-stereo-120-race-29-suspension-bike-2021/rp-prod200886,mountain
Cube Stereo 150 C:62 Race 29 Suspension Bike 2021,/cube-stereo-150-c-62-race-29-suspension-bike-2021/rp-prod200897,mountain
Cube Stereo 150 C:68 TM 29 Suspension Bike 2021,/cube-stereo-150-c-68-tm-29-suspension-bike-2021/rp-prod200869,mountain
Cube Stereo 170 Race 29 Suspension Bike 2021,/cube-stereo-170-race-29-suspension-bike-2021/rp-prod200856,mountain
Cube Stereo 170 SL 29 Suspension Bike 2021,/cube-stereo-170-sl-29-suspension-bike-2021/rp-prod200879,mountain
Cube Stereo 170 TM 29 Suspension Bike 2021,/cube-stereo-170-tm-29-suspension-bike-2021/rp-prod200893,mountain
