Price,Brand,Model,Colour,Wheel Size,Frame Size,Gender,Speed,Material,Age Group,Fork Travel,Rear Travel,Frame,Forks,Brake,Cable,Brake Levers,Chainwheel,Freewheel,Chain,Headset,Crank,Bottom Bracket,Rims,Front Hub,Rear Hub,Tyres,Seat,Handlebars,Handlebar Stem,Grips,Pedal,Fork,Steerer,Stem,Handlebar,Handlebar Tape,Shifter/Brake Levers,Brake System,Front Derailleur,Rear Derailleur,Crankset,Cassette,Saddle,Seatpost,Tubeless Ready Tyres,Tubeless Ready Wheels,Pedals,Dropouts/Axle Type,Maximum Tyre Size,Rear Pannier Rack Compatible,Mudguards Compatible,Replacement Gear Hanger,Weight,Drivetrain,Chainset,Shifters,Wheelset,Brakes,Bars,Use,Brake Rotors,Bar Tape,Brake Caliper Mounts,Wheels,Axles,Max Tyre Clearance,Seat Clamp,Cog,Hub Spacing,Gear/Brake Levers,Tyre Clearance,Seat Post,Cable Routing,Brake Fitment,Components,Disc Brakes,Handle Bar,Stem/Seatpost,Fork Weight,Frame Weight,Chainring,Hubs,Spokes/Nipples,Accessories,Rear Shock,ISCG Tabs,Chainguide,Spokes,Front Tyre,Rear Tyre,Seat Post Clamp,Warranty,Maximum Tyre Sizes,Carrier / Basket,Mudguards,Stand,Additional,Light Front,Light Rear,Front Light,Rear Light,Seatclamp,Tyre,Seatpost Clamp,Kickstand,Mudguard,Bell,Extras,Includes,Shift/Brake Levers,Shift Brake Levers,Manufacturer Part Numbers,17” Blue/Red,19” Blue/Red,21” Blue/Red,17” Black/Flash Yellow,19” Black/Flash Yellow,21” Black/Flash Yellow,Carrier,Carrier Rack,Shock Hardware,Front Derailluer,Cranks,Integrated Handlebar/Stem,Shift/ Brake Levers,Engine,Battery,Charger,Display,Shifter,50cm,53cm,56cm,59cm,62cm,Chain Guide,Front Tyres,Rear Pannier Rack,54cm,58cm,Lights,Frameset,Brake/Shift Levers,Front Brake,Rear Brake,Geometry,BB,Sprocket,Front Wheel,Rear Wheel,Misc,Brakeset,Brakset,Gear Hanger Model Number,Chain Device,Cog Set,Handebar,Rear Cog,Rear Cogs,Rear Cassette,Frame Material,Top Tube Length,Brake Lever,Brake Cable,Driver,Front Rim,Rear Rim,Gyro Tabs,Stuntpegs,Chain Stay Length,Headtube Angle,Seat Tube Angle,Gearing,Crankarms,Chainrings,Brake Calipers,Front Brake Rotor,Rear Brake Rotor,B/b,B/B,Sitting Posture,Hub Type,Number of Gears,Brake Type,Luggage Carrier,Child Seat Compatible,Front Seat Compatible,Rear Seat Compatible,Light,Lock Type,Suspension Fork,Tyre Sealant,Discs,Battery Charger,Brake Rotor,Axle to Crown,Fork Offset,Max Tyre Size,Protection,Front Rotor,Rear Rotor,Brakes/Shifter,Stem Lengths,Shock,Rear Deraileur,Derailleurs,Levers,Shifter L,Shifter R,Brakes Front,Brakes Rear,Tubes,Frame/Fork,Brake Discs,Groupset,Derailleur Rear,Axle Front,Axle Rear,Front Axle,Rear Axle,Suggested Rider Size,Barends,Pegs,Top Tube,Chain Stay,Head Tube,Seat Tube,Brake Mounts,Bar Ends,Stand Over,BB Height,Head Tube Angle,Standover Height,Bottom Bracket Height,Rear Lever,Adjustable Stem,Suspension Forks,Grip(Tape),Spoke,Front Brake Set,Rear Brake Set,Seat Screw,Rear Shifter,Rotors,Grip (Tape),Left Shifter,Right Shifter,Rear rim,Rear hub,Rear Bbrake Set,Front hub,Tyre Type,Minimum Saddle Height,Maximum Saddle Height,F/rim,R/rim,F/hub,R/hub,F/tire,R/tire,F/brake Set,R/brake Set,R/derailleur,R/shifter,Ideal Rider Inside Leg Length
2232.49,De Rosa,King XS Ultegra Road Bike 2018,Grey,700c,"49cm (19.25"")",Unisex,22 Speed,Carbon,------,------,------,"TI1000, TI 800 and XN10 Carbon Fibre",------,------,------,------,------,------,"Shimano CN-HG601, 11-speed",------,------,Token Press Fit,------,------,------,"Continental Grand Sport Race, 25c",------,------,------,------,------,De Rosa King XS,------,Deda Zero,Deda Zero,------,------,------,"Shimano Ultegra FD-R8000, Braze-On",Shimano Ultegra RD-R8000 SS,------,Shimano CS-R8000 11-30T,Prologo Kappa,De Rosa,------,------,------,------,------,------,------,------,------,------,Shimano FC-R8000 52-36T,------,Fulcrum Racing Quattro,De Rosa Tektro Direct Mount,------,------,------,Prologo Plaintouch,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,"Shimano ST-R8000, 11-speed",------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
1791.49,Felt,IA14 TT Bike 2019,Matt Textreme,700c,"54cm (21"")",Unisex,22 Speed,Carbon,------,------,------,"Felt Integrated Aero Tri UHC Performance Carbon Fibre, MMC with InsideOut construction, BB30 bottom bracket shell, horizontal dropouts with integrated dropout adjusters, aerodynamically optimized for direct mount rear brake, internal mechanical or electronic cable routing","Felt IA UHC Advanced Carbon Fibre Monocoque construction, 1.125"" Carbon Fibre steerer, blades, dropouts, crown; aerodynamically optimized for a conventional brake",------,------,Aero TT/Tri,------,------,Shimano 11-Speed,"FSA IS integrated, 1.125"" sealed ACB cartridge bearings with Felt compression device",------,FSA BB30 with 30mm bearings,"Devox 30A, tubeless ready, 17mm width, 27mm depth","Devox TTR4, 100mm QR, 24H","Devox TTR3, sealed cartridge bearing, 11-Speed, 130mm QR, 28H spokes 2.0mm Stainless Steel","Felt Aero TTR2 folding, 700 x 23c",------,------,------,"Felt VelvetGel tape, Felt Tri Tip grips and dimpled gel pads with Felt bar end plugs",------,------,------,"Felt Tri155, -6° rise, Ø31.8mm, 90mm","Felt Bayonet 3 base bar with Felt ƒ-Bend 3-position extensions, Ø31.8mm",------,------,------,Shimano Ultegra R8000 Braze-On,Shimano Ultegra R8000 11-Speed short cage,"Vision TriMax Pro TT BB30, 52/36T","Shimano 11-Speed, 11-28T",ISM PS1.1,"Felt Vibration Reducing Aero Tri UHC Advanced Carbon Fibre with 3T DiffLock Comfort Module internals, 300mm length",------,------,------,------,------,------,------,------,------,------,------,microSHIFT TT 11-Speed,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Felt Internaloc integrated with Titanium bolts,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Vision TriMax Aero caliper,Shimano BR5810 direct mount caliper,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
2819.49,Felt,VR2 DI2 Road Bike 2019,Sparkle,700c,"54cm (21"")",Unisex,22 Speed,Carbon,------,------,------,"Felt Variable Road UHC Advanced + TeXtreme Carbon Fibre, MMC with InsideOut construction, Carbon Fibre BB386 bottom bracket shell, 12 x 142mm with Syntace style thru axle, flat mount disc brake standard, replaceable rear derailleur hanger, internal mechanical or electronic cable routing",------,------,------,------,------,------,------,------,------,Token BB386 with 24mm bearings,"DT Swiss ER1400 Spline db 21, tubeless compatible 20mm inner width, 21mm depth",------,------,"Vittoria Rubino Pro G+ folding, 700 x 28c",------,------,------,------,------,"Felt Variable Road UHC Advanced + TeXtreme carbon fiber monocoque construction, size specific ControlTaper Carbon Fibre steerer tube, integrated crown race, crown, blades, flat mount disc standard, 12 x 100mm thru axle",------,"Devox, -7° rise, Ø31.8mm, 43 - 47cm: 80mm, 51cm: 90mm, 54 - 56cm: 100mm, 58cm: 110mm, 61cm: 120mm","Devox Road Endurance, 65mm reach, 125mm drop, Ø31.8mm, 43-47cm: 380mm, 51cm: 400mm, 54 - 56cm: 420mm, 58 - 61cm: 440mm",------,------,------,Shimano Ultegra R8050 Di2 braze-on,Shimano Ultegra R8050 Di2 11-Speed long cage,"Shimano Ultegra R8000, 50/34T, 43 - 47cm: 165mm, 51cm: 170mm, 54 - 56cm: 172.5mm, 58 - 61cm: 175mm",------,Prologo Scratch Space T2.0,"Devox UHC Performance carbon fiber with microadjust head, 43 - 51cm: Ø27.2mm x 344mm length",------,------,------,------,------,------,------,------,7.9kg,------,------,------,------,Shimano R8070 hydraulic disc; Rotors: Front 160mm; Rear: 140mm,------,------,------,Felt VelvetGel tape with 3M reflective base with reflective Felt Bubble-Tech F-Wing bar end plugs,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,"Front: DT Swiss 240db, 12 x 100mm thru axle, Center Lock; Rear: DT Swiss 240db, 11-Speed, 12 x 142mm thru axle, Center Lock",------,"Carbon assembly paste, chain plate protector, Di2 internal battery charger",------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Shimano Ultegra Di2 R8070 11-Speed,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
300.99,Fit,"Misfit 12"" BMX Bike 2021","Warm Red, Midnight Blue","12""",------,------,------,------,------,------,------,13” TT Chromoly Top & Down Tubes,------,------,------,------,------,------,------,A-headset,------,------,------,------,------,Fit OEM 2.1”,New Flatter/more Padded Integrated Combo,------,------,Fit Misfit,------,New 31mm Offset Chromoly Steerer Tube,------,Mini Front Load,------,------,------,------,------,------,------,------,------,------,------,------,Nylon Platform,------,------,------,------,------,------,------,------,------,------,Odyssey Springfield W/linear Cable/short Reach Lever,2-piece 4.5”x 19.75”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 75mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,12,Sealed MID,Fit Bite 23t,16h Single Wall W/unsealed Hub/domed Nuts,16h Single Wall W/sealed 9t Cassette/domed Nuts,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
319.99,Fit,"Misfit 14"" BMX Bike 2021",Gloss Black,"14""",------,------,------,------,------,------,------,14.25” TT Chromoly Top & Down Tubes,------,------,------,------,------,------,------,A-headset,------,------,------,------,------,Fit OEM 2.1”,New Flatter/more Padded Integrated Combo,------,------,Fit Misfit,------,New 31mm Offset Chromoly Steerer Tube,------,Mini Front Load,------,------,------,------,------,------,------,------,------,------,------,------,Nylon Platform,------,------,------,------,------,------,------,------,------,------,Odyssey Springfield with linear Cable/short Reach Lever,2-piece 6”x 21”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 95mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,14,Sealed MID,Fit Bite 23t,16h Single Wall with unsealed Hub,16h Single with unsealed 9t Cassette,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
357.49,Fit,"Misfit 16"" BMX Bike 2021",Chrome,"16""",------,------,------,------,------,------,------,16.25” TT Chromoly Top & Down Tubes,------,------,------,------,------,------,------,A-headset,------,------,------,------,------,Fit OEM 2.25”,New Flatter/more Padded Integrated Combo,------,------,Fit Misfit,------,New 31mm Offset Chromoly Steerer Tube,------,Mini Top Load,------,------,------,------,------,------,------,------,------,------,------,------,Wellgo Nylon Platform,------,------,------,------,------,------,------,------,------,------,Odyssey Springfield W/linear Cable,2-piece 7”x 24”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 105mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,16,Sealed MID,Fit Bite 24t,Wider 20h Single Wall W/unsealed Hub,Wider 20h Single Wall W/sealed 9t Cassette,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
366.99,Fit,"Misfit 18"" BMX Bike 2021","Matte Black, Trans Black","18""",------,------,------,------,------,------,------,18” TT Chromoly Top & Down Tubes,------,------,------,------,------,------,------,A-headset,------,------,------,------,------,Fit OEM 2.3”,New Flatter/more Padded Integrated Combo,------,------,Fit Original,------,33mm Offset Chromoly Steerer Tube,------,Mini Top Load,------,------,------,------,------,------,------,------,------,------,------,------,Wellgo Nylon Platform,------,------,------,------,------,------,------,------,------,------,Odyssey Springfield W/linear Cable,2-piece 8”x 27”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 130mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,18,Sealed MID,Fit Bite 24t,Wider 36h/32mm Single Wall W/unsealed Hub,Wider 36h/32mm Single Wall W/sealed 9t Cassette,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
582.99,Fit,Series 22 BMX Bike 2021,"Navy Blue, Gloss Black","22""",------,------,------,------,------,------,------,22.125” Tt 100% Chromoly,------,------,------,------,------,------,------,Integrated,------,------,------,------,------,S&M Speedball 2.4” (F) 2.25” (R),S&M Stealth Pivotal,------,------,Fit Lontech with flange,------,Tapered with 33mm Offset,------,Fit Top Load,------,------,------,------,------,------,------,------,------,------,------,------,Fit Mack Alloy,------,------,------,------,------,------,------,------,------,------,New U-brake with more Tyre Clearance And Softer Pull Springs,2-piece 9”x29”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 175mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,22,Sealed MID,Fit Tri Aluminium 25t,Fit Oem Double Wall with sealed Female Axle,Fit Oem Double Wall with sealed 9t Cassette,S&M 320mm Long Johnson Post with qr Seat Clamp,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
366.99,Fit,Series One BMX Bike 2021,"Trans Ice Blue, Gloss Red, Trans Gold, Gloss Black","20""","S, L, M",------,------,------,------,------,------,20.5” TT (Md) Chromoly Top & Down Tubes,------,------,------,------,------,------,------,A-headset,------,------,------,------,------,Fit OEM 2.4”,New More Padded Integrated Combo,------,------,Fit Longtech,------,33mm Offset Chromoly Steerer Tube,------,Fit Top Load,------,------,------,------,------,------,------,------,------,------,------,------,Fit Mack-pc,------,------,------,------,------,------,------,------,------,------,New U-brake with more Tyre Clearance And Softer Pull Springs,2-piece 8.7”x 29”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 165mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Series One,Sealed MID,Fit Key 25t,Fit S1w with unsealed Hub,Fit S1w with sealed 9t Cassette,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
422.99,Fit,TRL BMX Bike 2021,Trans Gold,"20""",XXL,------,------,------,------,------,------,21” TT (Xl) Chromoly Front Tri,------,------,------,------,------,------,------,Integrated,------,------,------,------,------,Fit Oem 2.4”,Fit Barstool Pivotal,------,------,Fit Longtech with flange,------,Tapered with 33mm Offset,------,Fit Top Load,------,------,------,------,------,------,------,------,------,------,------,------,Fit Mack Alloy,------,------,------,------,------,------,------,------,------,------,New U-brake with more Tire Clearance And Softer Pull Springs,2-piece 9”x 29”,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tubular Chromoly 175mm,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Trail with 74.5° HA,Sealed MID,Fit Saw 30t,Fit S1w with sealed Female Axle,Fit Oem Double Wall with sealed 10t Cassette,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
610.99,Fuji,Absolute 1.7 ST Urban Bike 2021,Silver,700c,"38.5cm (15""), 19"", 43.5cm (17"")",Unisex,18 Speed,Aluminium,------,Rigid,------,Fuji A2-SL custom butted Aluminium,------,------,------,------,------,------,KMC X9,"1-1/8"" semi-integrated",------,Sealed cartridge bearing,------,------,------,"Kenda Tendril, 700x38c, K-shield flat protection",------,------,------,Velo comfort sport,------,Fuji A1 Aluminium,------,"3D-forged alloy, 17° rise, 31.8mm clamp","Alloy, 18mm rise, 6° backsweep",------,------,------,Shimano Acera,Shimano Alivio shadow,"Shimano Altus, 46/30T","Shimano Acera, 11-36T",Selle Royal Vivo Ergo,"Alloy, 27.2mm diameter",------,------,------,------,------,------,------,------,------,------,------,"Shimano Altus, 2x9-Speed","Alex double wall rims 32h, stainless spokes","Tektro HD-275, hydraulic disc, 160mm rotors",------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
610.99,Fuji,Absolute 1.7 Urban Bike 2021,Cement,700c,"43.5cm (17""), 19"", 21""",Unisex,18 Speed,Aluminium,------,Rigid,------,Fuji A2-SL custom butted Aluminium,------,------,------,------,------,------,KMC X9,"1-1/8"" semi-integrated",------,Sealed cartridge bearing,------,------,------,"Kenda Tendril, 700x38c, K-shield flat protection",------,------,------,Velo comfort sport,------,Fuji A1 Aluminium,------,"3D-forged alloy, 17° rise, 31.8mm clamp","Alloy, 18mm rise, 6° backsweep",------,------,------,Shimano Acera,Shimano Alivio shadow,"Shimano Altus, 46/30T","Shimano Acera, 11-36T",Selle Royal Vivo Ergo,"Alloy, 27.2mm diameter",------,------,------,------,------,------,------,------,------,------,------,"Shimano Altus, 2x9-Speed","Alex double wall rims 32h, stainless spokes","Tektro HD-275, hydraulic disc, 160mm rotors",------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
357.49,Fuji,Absolute 2.1 ST Urban Bike 2021,Pearl White,700c,"43.5cm (17""), 19""",Unisex,21 Speed,Aluminium,------,Rigid,------,Fuji A2-SL custom butted alloy,------,------,------,Shimano Tourney,------,------,KMC HV500,"1-1/8"" semi-integrated",------,Sealed cartridge bearing,------,------,------,"Kenda Tendril, 700 x 38c",------,------,------,Velo comfort,------,Fuji Hi-Ten steel,------,"Alloy, 25°, 25.4mm","Alloy, 20mm rise, 6° backsweep",------,------,------,Shimano Tourney,Shimano Tourney 7-Speed,"Prowheel, 48/38/28T",Shimano Tourney 14-34T freewheel,Fuji comfort sport,"Alloy, 27.2mm",------,------,Resin platform,------,------,------,------,------,------,------,------,"Shimano Tourney, EZ Fire, 3 x 7-speed",Weinmann double wall rims 32h,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tektro alloy linear pull,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
357.49,Fuji,Absolute 2.1 Urban Bike 2021,Cool Grey,700c,"43.5cm (17""), 21"", 59cm (23""), 19""",Unisex,21 Speed,Steel,------,Rigid,------,Fuji A2-SL custom butted alloy,------,------,------,Shimano Tourney,------,------,KMC HV500,"1-1/8"" semi-integrated",------,Sealed cartridge bearing,------,------,------,"Kenda Tendril, 700 x 38c",------,------,------,Velo comfort,------,Fuji Hi-Ten steel,------,"Alloy, 25°, 25.4mm","Alloy, 20mm rise, 6° backsweep",------,------,------,Shimano Tourney,Shimano Tourney 7-Speed,"Prowheel, 48/38/28T",Shimano Tourney 14-34T freewheel,Fuji comfort sport,"Alloy, 27.2mm",------,------,Resin platform,------,------,------,------,------,------,------,------,"Shimano Tourney, EZ Fire, 3 x 7-speed",Weinmann double wall rims 32h,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,Tektro alloy linear pull,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
