Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Fuji;Nevada 27.5 1.9 Hardtail Bike 2021;549,99;Mountain;------;"38.5cm (15""), 43cm (17""), 48cm (19"")";Shimano Tourney;21 Speed;SR Suntour SF19-XCE 27.5, 100mm;"Levers: Shimano EF41; Calipers: Tektro M280, mechanical disc; Rotors: 160/160mm"
Fuji;Nevada 29 1.9 Hardtail Bike 2021;549,99;Mountain;------;"19"", 21"", 43.5cm (17"")";Shimano Tourney 7-Speed;21 Speed;SR Suntour SF19-XCE 29, 100mm;------
Vitus;Nucleus 27 VR Bike (Altus 2x9) 2020;549,99;Mountain;14.32kg (approx);M;Shimano Altus RD-M2000, SGS 9-Speed, Shadow Design;18 Speed;"SR Suntour XCR32 Boost Air 120mm 27.5""";"Tektro HD-M29 Wave Style Rotor; Rotor: 180mm"
Vitus;Nucleus 27 VR Mountain Bike - Blue 2021;549,99;Mountain;TBC;L, XL, S, M;Box Four 8 Speed Wide W/ Clutch;8 Speed;"SR Suntour XCR32 Air Lor Ds 27.5"" Tapered Alloy Steerer, 120mm Travel, Post Mount Disc Brake Mounts, 100mm x 9mm QR";Tektro Hd-m275
Vitus;Nucleus 27 VR Mountain Bike - Grey 2021;549,99;Mountain;TBC;S, XL, L, M;Box Four 8 Speed Wide W/ Clutch;8 Speed;"SR Suntour XCR32 Air Lor Ds 27.5"" Tapered Alloy Steerer, 120mm Travel, Post Mount Disc Brake Mounts, 100mm x 9mm QR";Tektro Hd-m275
Vitus;Nucleus 27 VRW Womens Mountain Bike 2021;549,99;Mountain;TBC;M, S, XS;Box Four 8 Speed Wide with Clutch;8 Speed;SR Suntour xcr32 Air Lor Ds 27.5” Tapered Alloy Steerer, 120mm Travel, Post Mount Disc Brake Mounts, 100mm x 9mm QR;Tektro Hd-m275
Vitus;Nucleus 29 VR Mountain Bike - Blue 2021;549,99;Mountain;TBC;XL, L, M;Box Four 8 Speed Wide W/ Clutch;8 Speed;SR Suntour XCR32 Air Lor Ds 29” Tapered Alloy Steerer, 100mm Travel, Post Mount Disc Brake Mounts, 100mm x 9mm QR;Tektro Hd-m275
Vitus;Nucleus 29 VR Mountain Bike - Grey 2021;549,99;Mountain;TBC;L, XL, M;Box Four 8 Speed Wide W/ Clutch;8 Speed;SR Suntour XCR32 Air Lor Ds 29” Tapered Alloy Steerer, 100mm Travel, Post Mount Disc Brake Mounts, 100mm x 9mm QR;Tektro Hd-m275
Octane One;Melt Pump Track Bike 2021;559;Mountain;------;------;------;Single Speed;SR Suntour XCM, 100mm travel;V-brake
Kona;Lana'l Hardtail Bike 2021;579;Mountain;------;XL, S, M, L;Shimano Altus, 8-Speed;8 Speed;Suntour XCT30 DS Coil Spring 100mm;Tektro 180mm
